era,launch_year,product_name,category,product_type,shade_code,shade_name,shade_description,finish,finish_group,color_family,shade_depth_order,shade_depth_group,undertone_inferred_cmyk,undertone_confidence,shade_function,c_pct,m_pct,y_pct,k_pct,color_value_source,is_oos
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,66,Fawn Deep,Fawn Deep,Natural to Full Coverage,natural,nude,13,deep,golden_warm,medium,skin_tone,0,21,35,17,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,82,Cocoa Light,Cocoa Light,Natural to Full Coverage,natural,nude,14,deep,golden_warm,medium,skin_tone,0,26,43,23,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,84,Cocoa Medium,Cocoa Medium,Natural to Full Coverage,natural,nude,15,very_deep,golden_warm,medium,skin_tone,0,29,47,31,source_provided,false
original_launch,2013,Genius Gel Super-Charged Foundation,Face,Foundation,86,Cocoa Deep,Cocoa Deep,Natural to Full Coverage,natural,nude,16,very_deep,neutral_warm,medium,skin_tone,0,30,42,43,source_provided,false
original_launch,2013,Perfection Powder Featherweight Foundation,Face,Foundation,120,Ivory,Ivory,Semi-matte,matte,nude,1,very_fair,golden_warm,medium,skin_tone,0,18,38,7,converted_from_rgb,false
original_launch,2013,Perfection Powder Featherweight Foundation,Face,Foundation,200,Ivory Bisque,Ivory Bisque,Semi-matte,matte,nude,2,fair,golden_warm,medium,skin_tone,0,14,30,8,converted_from_rgb,false
original_launch,2013,Perfection Powder Featherweight Foundation,Face,Foundation,240,Bisque,Bisque,Semi-matte,matte,nude,3,light,golden_warm,medium,skin_tone,0,22,45,11,converted_from_rgb,false
original_launch,2013,Perfection Powder Featherweight Foundation,Face,Foundation,300,Beige,Beige,Semi-matte,matte,nude,4,light_medium,golden_warm,medium,skin_tone,0,17,29,15,converted_from_rgb,false
original_launch,2013,Perfection Powder Featherweight Foundation,Face,Foundation,360,Golden,Golden,Semi-matte,matte,nude,5,medium,golden_warm,high,skin_tone,0,23,44,18,converted_from_rgb,false
original_launch,2013,Perfection Powder Featherweight Foundation,Face,Foundation,400,Golden Fawn,Golden Fawn,Semi-matte,matte,nude,6,medium,golden_warm,high,skin_tone,0,22,44,11,converted_from_rgb,false
original_launch,2013,Perfection Powder Featherweight Foundation,Face,Foundation,450,Fawn,Fawn,Semi-matte,matte,nude,7,medium_deep,golden_warm,medium,skin_tone,0,28,49,27,converted_from_rgb,false
original_launch,2013,Perfection Powder Featherweight Foundation,Face,Foundation,500,Fawn Cocoa,Fawn Cocoa,Semi-matte,matte,nude,8,deep,golden_warm,medium,skin_tone,0,22,42,33,converted_from_rgb,false
original_launch,2013,Perfection Powder Featherweight Foundation,Face,Foundation,600,Cocoa,Cocoa,Semi-matte,matte,nude,9,deep,golden_warm,medium,skin_tone,0,42,65,46,converted_from_rgb,false
original_launch,2013,Perfection Powder Featherweight Foundation,Face,Foundation,800,Cocoa Deep,Cocoa Deep,Semi-matte,matte,nude,10,very_deep,neutral_warm,medium,skin_tone,0,29,37,44,converted_from_rgb,false
original_launch,2013,Highliner Gel Crayon,Eyes,Eyeliner,44,TH(ink),Purple,Metallic,metallic_shimmer,purple,,not_applicable,unknown,low,color_cosmetic,51,59,0,59,source_provided,false
original_launch,2013,Highliner Gel Crayon,Eyes,Eyeliner,46,Jazz(berry),Berry,Metallic,metallic_shimmer,berry_plum,,not_applicable,unknown,low,color_cosmetic,0,47,35,43,source_provided,false
original_launch,2013,Highliner Gel Crayon,Eyes,Eyeliner,48,Ro(cocoa),Bronze,Metallic,metallic_shimmer,gold_bronze,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,48,59,55,source_provided,false
original_launch,2013,Highliner Gel Crayon,Eyes,Eyeliner,50,N(ice),Silver,Metallic,metallic_shimmer,white_silver,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,0,0,20,source_provided,false
