era,launch_year,product_name,category,product_type,shade_code,shade_name,shade_description,finish,finish_group,color_family,shade_depth_order,shade_depth_group,undertone_inferred_cmyk,undertone_confidence,shade_function,c_pct,m_pct,y_pct,k_pct,color_value_source,is_oos
revival,2026,Joystick Blush,Face,Blush,511,Pink Kink,Intense Fuchsia,Natural,natural,pink,,,unknown,low,color_cosmetic,0,74,49,1,converted_from_rgb,true
revival,2026,Joystick Blush,Face,Blush,210,Papa Don't Peach,Vibrant Coral,Natural,natural,coral_orange,,,unknown,low,color_cosmetic,0,50,66,0,converted_from_rgb,false
revival,2026,Joystick Blush,Face,Blush,510,Last Word,Vibrant Lilac,Natural,natural,purple,,,unknown,low,color_cosmetic,0,49,15,24,converted_from_rgb,false
revival,2026,Joystick Blush,Face,Blush,110,Hot Flush,Vibrant Fresh Pink,Natural,natural,pink,,,unknown,low,color_cosmetic,0,36,24,1,converted_from_rgb,false
revival,2026,Joystick Blush,Face,Blush,410,Freaks & Cheeks,Deep Plum,Natural,natural,berry_plum,,,unknown,low,color_cosmetic,0,75,50,35,converted_from_rgb,false
revival,2026,Joystick Blush,Face,Blush,310,Cherry Tease,Deep Blue Red,Natural,natural,red,,,unknown,low,color_cosmetic,0,85,69,42,converted_from_rgb,false
revival,2026,Joystick Blush,Face,Blush,211,"Attention, Please",True Orange,Natural,natural,coral_orange,,,unknown,low,color_cosmetic,0,66,83,1,converted_from_rgb,false
revival,2026,Legally Bronze Bronzer,Face,Bronzer,10,Fair,Fair,Natural,natural,brown,1,fair,golden_warm,low,bronzer,0,27,43,23,converted_from_rgb,false
revival,2026,Legally Bronze Bronzer,Face,Bronzer,15,Light,Light,Natural,natural,brown,2,light,golden_warm,low,bronzer,0,34,52,25,converted_from_rgb,false
revival,2026,Legally Bronze Bronzer,Face,Bronzer,20,Light Medium,Light Medium,Natural,natural,brown,3,light_medium,golden_warm,low,bronzer,0,34,54,33,converted_from_rgb,false
revival,2026,Legally Bronze Bronzer,Face,Bronzer,25,Light Medium Plus,Light Medium Plus,Natural,natural,brown,4,light_medium,golden_warm,low,bronzer,0,36,54,34,converted_from_rgb,false
